Fold,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
Fold1,52,5,30,30,32,34,24,71,43,94,14,37,20,40,22,45,52,44,7,28
Fold1,23,2,4,9,17,14,6,23,21,34,15,9,13,19,3,20,11,20,2,10
Fold1,38,4,14,15,7,33,3,14,13,24,7,11,12,12,16,17,14,18,2,9
Fold1,13,4,5,0,0,13,1,2,1,19,1,1,10,3,9,2,6,7,3,0
Fold1,27,2,6,10,19,16,8,27,4,27,7,8,10,7,6,13,20,23,6,5
Fold1,36,3,20,26,20,31,5,19,14,24,10,16,20,15,15,19,20,27,10,9
Fold1,88,7,70,83,48,87,33,70,77,88,31,61,72,44,59,85,71,69,37,48
Fold1,26,1,5,10,15,24,2,28,8,39,13,12,16,7,14,27,24,29,4,5
Fold1,52,1,11,14,39,49,5,52,20,36,12,19,12,16,11,23,24,45,8,16
Fold1,61,0,28,55,18,44,7,56,53,46,20,31,8,42,16,73,44,43,4,13
Fold1,15,4,6,3,27,25,4,22,10,36,10,4,10,3,7,14,12,13,3,7
Fold1,12,0,3,6,10,12,11,11,3,12,5,5,3,3,0,10,5,7,4,2
Fold1,37,1,3,18,33,41,1,43,18,47,13,19,7,10,8,25,13,39,3,14
Fold1,42,3,10,10,32,45,2,45,17,47,16,14,14,12,7,29,28,52,1,12
Fold1,12,0,8,5,8,17,1,13,5,17,1,7,7,6,8,7,13,14,0,2
Fold1,25,0,3,6,8,24,2,27,7,31,11,7,6,6,10,11,15,19,2,9
Fold1,2,1,1,4,9,4,0,15,5,8,5,4,2,4,5,7,7,10,2,6
Fold1,86,4,8,3,17,41,2,7,3,63,7,4,23,3,16,16,37,42,7,3
Fold1,22,3,22,18,4,20,4,26,17,23,10,13,9,10,15,11,11,25,0,5
Fold1,8,5,4,14,4,3,2,5,5,14,7,0,3,2,5,3,3,4,1,5
Fold1,58,2,34,24,18,44,2,53,68,55,7,39,25,22,18,84,63,44,8,37
Fold1,43,2,10,8,27,37,2,30,12,37,10,10,16,5,9,19,24,24,2,3
Fold1,10,4,3,5,6,12,1,8,9,18,4,8,6,1,7,5,7,8,4,2
Fold1,15,1,3,7,29,13,1,13,8,32,8,3,4,6,7,15,6,16,6,5
Fold1,8,3,8,11,10,15,3,11,16,14,6,10,8,3,5,10,11,18,2,7
Fold1,28,0,26,40,22,35,12,25,24,45,10,18,16,14,20,31,26,24,6,29
Fold1,33,10,13,6,32,44,9,28,13,54,12,6,21,13,30,33,18,31,6,9
Fold1,56,2,17,44,27,37,11,34,27,60,8,18,12,23,23,34,20,29,7,18
Fold1,95,3,25,12,28,54,7,25,10,85,16,5,39,21,45,33,43,55,18,24
Fold1,27,3,40,41,20,28,9,58,44,51,19,34,11,25,28,44,45,37,2,17
Fold1,46,7,7,11,31,43,3,55,20,59,15,15,18,9,15,31,37,36,6,10
Fold1,29,0,10,5,16,24,0,37,9,31,10,6,14,9,10,12,22,29,5,4
Fold1,36,6,36,33,35,30,16,27,25,44,10,31,33,37,30,44,36,40,17,25
Fold1,61,6,29,18,16,34,10,18,6,54,10,10,37,19,49,24,37,36,5,10
Fold1,14,4,31,26,42,30,10,95,55,75,19,66,15,32,19,60,24,38,4,32
Fold1,40,11,25,22,37,43,21,66,33,102,11,17,33,34,31,48,42,46,9,27
Fold1,46,3,28,39,21,47,8,28,35,42,11,14,28,20,17,30,26,32,10,15
Fold1,285,23,133,127,57,202,54,71,26,212,39,38,111,74,148,125,141,176,30,39
Fold1,27,2,6,16,30,31,5,42,16,64,9,13,10,9,3,35,13,38,3,11
Fold1,32,1,10,16,28,40,3,56,26,42,15,13,15,17,4,24,23,42,2,12
Fold1,50,5,7,10,39,41,6,39,18,71,16,7,19,7,8,31,29,25,4,14
Fold1,290,6,102,75,20,138,36,57,14,169,23,24,102,51,123,85,110,172,20,8
Fold1,40,5,22,29,12,36,11,23,15,38,12,14,23,11,22,18,27,24,9,17
Fold1,16,1,2,2,11,14,3,23,6,24,5,3,9,2,5,9,10,17,0,4
Fold1,39,13,24,27,19,38,9,26,32,22,16,16,24,11,19,25,29,29,10,17
Fold1,35,0,10,25,13,19,4,22,19,32,9,6,8,10,8,13,12,20,2,3
Fold1,30,3,27,17,9,30,1,22,34,32,2,27,7,8,2,30,43,25,2,11
Fold1,21,1,27,26,31,20,6,26,50,27,3,40,13,13,4,23,28,25,8,11
Fold1,18,2,15,18,12,24,4,28,31,29,4,23,14,8,6,30,20,16,3,13
Fold1,71,1,53,42,24,36,6,20,69,51,8,35,21,28,12,55,45,43,10,33
Fold1,23,1,15,9,28,20,2,28,16,41,13,8,11,8,13,17,18,22,10,15
Fold1,22,0,4,9,4,14,5,3,2,24,4,1,5,2,17,6,12,16,5,5
Fold1,83,6,45,53,34,63,9,74,64,67,19,32,22,23,22,43,46,78,5,16
Fold1,17,5,52,75,60,30,17,111,94,101,14,106,28,24,31,78,37,35,10,61
Fold1,9,0,16,7,11,13,3,11,19,12,7,14,7,3,10,7,7,19,1,8
Fold1,37,7,25,26,17,21,12,20,7,39,9,9,33,16,26,28,26,36,3,3
Fold1,37,5,6,19,30,46,3,56,19,52,20,14,15,9,14,35,26,37,9,12
Fold1,70,1,54,44,37,48,10,89,74,89,19,57,27,51,11,76,53,57,10,24
Fold1,27,3,7,10,28,21,8,19,10,31,10,7,14,7,7,12,15,28,6,11
Fold1,5,1,3,11,6,7,2,9,8,14,2,4,1,9,9,7,8,10,1,7
Fold1,17,0,14,29,10,12,5,17,34,23,6,15,10,5,8,21,11,17,2,5
Fold1,37,2,16,11,25,48,6,50,19,69,16,13,14,4,8,34,26,46,8,16
Fold1,42,5,13,11,36,46,4,37,21,50,11,11,18,12,11,39,24,38,12,14
Fold1,16,0,3,9,22,18,6,9,9,27,10,6,5,3,3,12,20,15,5,9
Fold1,47,0,48,43,22,46,10,27,36,68,13,31,20,16,31,50,35,45,3,17
Fold1,12,2,13,10,8,13,5,12,14,15,4,9,6,7,5,7,5,8,5,7
Fold1,49,1,7,10,23,49,9,53,18,57,22,16,12,4,10,27,19,41,1,14
Fold1,16,1,6,8,20,17,8,15,9,29,9,5,7,3,6,18,3,21,5,12
Fold1,67,1,17,31,37,61,8,50,14,62,16,22,18,15,25,41,37,46,18,9
Fold1,53,3,52,44,16,53,10,50,58,53,14,47,26,17,20,53,34,39,14,46
Fold1,14,4,7,10,28,21,10,57,13,51,9,8,16,10,10,23,14,30,7,13
Fold1,36,1,10,17,6,12,1,13,29,13,1,13,8,6,2,11,28,30,0,5
Fold1,10,0,2,1,9,2,2,10,3,12,5,2,5,0,3,6,3,6,2,4
Fold1,51,0,41,36,6,31,23,18,46,11,5,58,13,45,16,44,24,12,0,6
Fold1,57,5,44,41,22,61,10,24,21,57,16,10,41,23,49,24,26,43,25,32
Fold1,5,0,5,20,8,2,3,7,22,12,11,9,0,16,4,9,2,6,0,6
Fold1,36,0,14,5,35,31,4,57,20,47,14,23,24,13,8,25,29,24,10,16
Fold1,25,6,17,24,9,19,13,28,24,38,9,17,10,14,24,20,23,21,1,14
Fold1,27,1,6,6,14,41,3,36,12,51,10,11,10,8,11,17,21,29,1,7
Fold1,22,2,18,17,15,25,10,18,9,25,7,12,16,6,14,14,15,21,8,12
Fold1,26,2,8,8,26,19,5,28,14,37,10,11,15,9,8,14,20,22,4,9
Fold1,17,5,4,10,47,40,7,62,22,55,18,21,12,4,7,46,26,38,5,13
Fold1,21,0,7,21,4,21,2,19,17,8,3,11,5,13,4,12,15,18,1,3
Fold1,36,4,32,30,17,42,9,35,25,40,15,15,22,24,23,19,29,39,1,9
Fold1,43,5,9,6,12,18,8,19,8,36,10,5,19,7,24,17,14,26,8,6
Fold1,36,5,23,38,19,27,8,52,26,27,15,23,18,16,31,21,23,33,6,17
Fold1,69,0,84,57,30,76,4,34,92,47,14,55,32,44,22,80,74,60,6,34
Fold1,49,1,9,12,28,50,5,56,17,64,15,13,16,6,5,28,26,39,4,5
Fold1,24,4,5,9,41,27,5,40,19,52,13,8,12,13,9,18,24,25,6,14
Fold1,40,1,8,3,8,53,1,8,6,22,2,5,35,27,2,22,14,20,2,19
Fold1,13,2,3,2,7,5,2,6,2,13,8,6,1,1,5,4,5,12,0,2
Fold1,50,0,8,13,28,36,4,23,10,50,14,7,27,10,17,25,26,35,15,12
Fold1,21,1,8,10,25,10,4,21,9,39,11,2,11,2,13,13,13,19,3,10
Fold1,7,2,7,9,4,10,6,13,7,10,6,3,2,9,4,10,5,8,1,4
Fold1,34,4,7,7,32,37,5,35,18,47,19,12,19,12,11,35,23,32,5,16
Fold1,40,7,32,13,26,47,13,21,11,44,12,29,58,13,24,26,38,42,11,14
Fold1,42,2,6,18,33,37,5,50,19,48,15,14,20,10,12,39,26,49,10,14
Fold1,37,3,7,16,33,40,7,46,21,62,20,9,8,7,16,31,38,35,4,11
Fold1,16,2,16,19,11,9,5,16,15,31,8,6,5,6,8,12,19,18,5,21
Fold1,57,0,17,15,32,62,11,30,9,47,19,13,16,3,13,27,20,38,12,11
Fold2,59,1,19,11,11,35,3,35,38,37,8,37,17,16,17,54,39,35,0,24
Fold2,73,1,23,42,5,25,2,19,34,28,4,33,19,47,13,64,46,25,4,9
Fold2,118,1,167,72,66,147,22,139,102,100,30,176,63,58,44,144,147,126,36,103
Fold2,109,0,80,55,37,67,4,40,99,52,6,63,43,17,4,55,112,129,3,29
Fold2,146,0,84,64,41,71,5,54,112,81,4,76,29,31,22,72,157,133,4,42
Fold2,13,1,6,7,4,15,6,8,4,12,7,21,3,9,10,11,11,9,4,13
Fold2,67,0,24,6,9,43,2,6,38,25,5,21,6,10,8,43,83,35,4,30
Fold2,101,9,56,32,20,58,22,35,23,54,21,18,41,21,61,71,67,65,23,15
Fold2,127,1,179,282,50,162,7,154,102,86,34,69,322,27,39,174,292,119,17,70
Fold2,65,0,20,8,9,23,3,16,38,16,2,52,9,8,8,35,54,55,0,23
Fold2,76,0,135,78,42,71,6,48,115,67,19,57,21,18,31,50,72,105,10,32
Fold2,81,7,32,15,18,54,3,31,28,32,7,42,13,23,12,51,43,38,5,13
Fold2,23,0,21,19,10,12,5,20,33,23,3,9,7,12,8,26,15,19,5,12
Fold2,92,2,70,55,19,58,21,35,68,54,13,67,52,23,18,99,92,85,12,34
Fold2,10,0,13,13,9,9,2,6,8,10,4,1,9,4,12,9,11,11,0,3
Fold2,104,1,55,55,22,65,6,36,114,64,19,46,29,30,18,71,50,70,4,35
Fold2,12,0,5,11,3,6,3,8,13,16,2,9,6,12,3,6,4,8,1,7
Fold2,56,1,22,18,15,16,3,15,31,19,9,11,15,10,5,15,26,22,6,12
Fold3,25,10,43,36,52,28,16,81,78,91,11,79,24,40,14,57,47,50,5,19
Fold3,31,6,36,42,19,37,12,21,26,34,14,18,29,12,37,24,25,38,11,18
Fold3,9,1,10,17,1,7,1,20,10,7,3,7,7,7,7,8,9,19,2,4
Fold3,29,2,13,28,4,16,4,10,20,16,8,5,16,9,19,10,9,16,1,6
Fold3,60,2,55,45,24,44,15,40,55,68,20,28,31,20,21,29,40,43,12,31
Fold3,68,3,53,65,21,55,17,43,37,63,22,39,28,23,46,34,42,51,10,19
Fold3,84,18,29,41,13,53,14,52,43,57,19,34,26,13,23,22,32,50,5,8
Fold3,44,0,42,21,17,41,6,43,35,32,16,29,22,18,18,33,30,54,1,10
Fold3,136,0,47,73,26,177,7,38,37,58,21,31,102,35,94,39,41,74,0,10
Fold3,27,3,9,30,9,15,1,17,22,14,8,8,5,6,15,2,7,17,0,2
Fold3,66,2,40,26,16,41,15,14,14,40,11,10,23,17,33,29,27,35,11,17
Fold3,26,10,38,54,30,29,17,41,42,38,11,35,30,7,33,30,28,26,6,21
Fold3,26,2,28,33,31,25,14,23,43,32,7,32,13,10,17,14,15,25,2,28
Fold3,49,0,35,59,34,24,22,21,34,61,12,34,11,27,20,37,38,37,5,41
Fold3,9,0,4,9,2,9,2,6,7,7,4,3,1,3,1,6,6,8,0,1
Fold3,42,2,19,24,6,24,10,18,17,38,8,6,11,11,18,12,11,12,0,8
Fold3,22,6,54,39,34,15,12,83,80,116,5,100,9,35,11,57,44,37,2,33
Fold3,7,0,15,11,4,7,9,17,14,13,3,5,4,5,3,6,7,16,0,4
Fold3,31,12,58,78,53,44,14,81,114,91,7,80,17,18,27,65,44,52,8,36
Fold3,101,2,55,41,17,45,16,27,32,47,17,32,22,17,31,24,20,46,7,21
Fold3,61,0,46,57,39,24,10,34,55,59,12,33,25,20,17,42,32,26,13,22
Fold3,22,2,13,12,7,14,7,21,10,12,5,5,16,10,13,9,17,12,2,6
Fold3,12,0,5,16,4,13,3,10,5,12,3,1,8,3,12,7,7,12,1,3
Fold3,25,7,22,12,14,38,7,32,21,23,2,24,6,9,5,17,23,27,2,12
Fold3,4,1,11,12,5,7,5,12,15,12,2,3,2,6,4,3,7,9,3,6
Fold3,36,1,13,12,4,26,2,7,5,27,1,2,7,1,24,11,10,28,2,4
Fold3,61,1,27,20,14,42,13,16,13,46,9,12,23,11,28,21,20,39,2,8
Fold3,60,5,26,42,12,42,8,24,20,47,4,10,18,14,29,24,24,37,6,14
Fold3,7,1,12,15,10,17,4,14,14,13,12,13,5,6,11,6,8,16,0,6
Fold3,25,1,9,15,7,9,4,11,15,21,4,10,6,13,4,16,10,12,3,7
Fold3,10,2,13,18,9,11,2,14,11,13,3,6,10,5,8,4,8,9,1,8
Fold3,33,1,5,16,6,18,4,7,1,24,3,4,13,7,9,15,13,19,4,1
Fold3,61,6,30,18,12,38,1,16,13,27,12,21,10,12,12,25,33,35,2,4
Fold3,13,0,8,13,9,20,4,7,6,13,3,8,12,5,10,6,18,14,2,4
Fold3,18,3,25,18,17,38,10,26,24,25,7,13,20,7,18,20,13,16,8,23
Fold3,32,6,18,45,38,24,10,36,48,56,10,36,19,27,16,19,30,20,4,12
Fold3,53,0,20,38,11,23,4,17,34,26,12,18,6,11,8,10,16,32,1,8
Fold3,18,7,14,20,7,24,4,15,19,30,13,8,9,8,7,15,15,19,1,9
Fold3,56,8,44,46,27,56,11,26,30,48,16,21,41,12,30,26,38,36,20,13
Fold3,12,1,8,15,8,9,5,11,8,18,5,7,5,8,3,9,4,8,0,2
Fold3,5,1,7,14,2,7,3,5,15,30,6,4,4,9,5,9,11,3,1,6
Fold3,36,3,12,18,7,23,5,18,13,18,8,10,9,5,11,23,14,21,3,4
Fold3,27,6,18,23,12,23,8,13,7,28,8,13,18,23,19,9,16,21,7,20
Fold3,9,1,16,18,13,1,11,27,29,27,8,12,4,17,9,13,12,13,0,10
Fold3,20,2,7,14,12,19,3,15,11,15,3,3,11,10,6,15,11,16,1,2
Fold3,14,2,23,18,12,16,8,36,39,39,10,26,9,17,8,23,18,18,1,13
Fold3,50,3,24,35,14,29,11,27,34,42,18,30,19,18,14,26,28,29,4,7
Fold3,23,3,13,14,7,22,3,18,15,15,10,10,21,7,8,10,13,24,1,4
Fold3,13,0,11,9,6,6,4,15,11,12,6,6,5,6,11,14,8,18,1,1
Fold3,45,6,27,24,12,47,4,16,16,53,7,7,21,10,21,30,21,42,1,6
Fold3,6,0,5,16,4,4,2,7,9,7,3,5,6,2,4,6,5,7,3,3
Fold3,33,8,20,25,10,36,6,18,14,19,10,10,28,12,18,16,25,20,12,12
Fold3,1,1,8,4,4,4,7,15,4,10,2,7,1,10,4,8,9,3,1,6
Fold3,96,7,95,55,36,73,20,41,29,100,17,25,64,31,82,42,60,94,29,45
Fold3,12,7,37,54,21,26,9,52,40,38,10,33,11,8,18,18,25,16,3,41
Fold3,5,0,8,9,7,5,3,8,12,6,4,4,1,3,4,6,10,6,2,4
Fold3,133,6,62,62,26,90,20,35,19,82,16,27,36,31,62,54,70,101,14,21
Fold3,56,5,22,23,10,46,6,20,21,32,14,13,14,13,20,19,14,36,4,5
Fold3,11,1,16,26,20,8,11,21,25,44,6,22,7,9,9,26,8,10,0,11
Fold3,21,3,16,17,7,27,3,19,13,16,6,12,9,11,16,15,15,35,3,10
Fold3,54,6,29,17,7,39,13,14,12,30,6,9,15,9,22,13,18,38,2,11
Fold3,40,0,23,19,7,21,11,16,9,22,3,8,16,9,13,10,13,25,6,7
Fold3,23,2,19,23,18,21,3,29,24,23,9,16,5,10,8,10,15,18,0,12
Fold3,13,6,8,21,9,11,2,22,29,15,3,14,3,4,4,18,12,21,0,5
Fold3,1,0,4,7,3,5,3,8,14,7,5,5,2,3,3,4,6,6,0,4
Fold3,45,0,15,23,9,36,6,16,8,14,6,1,10,14,21,20,8,17,4,3
Fold3,20,3,29,29,27,19,9,29,27,41,11,23,11,15,16,33,25,21,2,23
Fold3,37,5,13,19,8,26,3,24,22,29,10,18,22,8,6,12,13,28,1,7
Fold3,61,4,54,84,31,54,25,51,59,76,27,29,46,25,57,30,48,58,27,34
Fold3,5,2,7,12,1,5,3,7,9,13,7,2,6,8,7,3,12,15,1,2
Fold3,94,15,99,123,61,89,43,106,106,133,36,51,57,56,59,78,79,89,9,54
Fold3,6,0,11,13,6,8,5,17,10,12,2,9,2,0,6,10,6,3,3,10
Fold3,20,2,9,9,5,2,6,7,13,11,2,2,7,6,4,7,5,8,2,4
Fold3,4,1,6,10,5,0,1,11,18,13,1,9,1,5,4,9,6,5,0,6
Fold3,17,1,12,25,7,12,1,14,13,27,3,5,9,6,7,7,12,11,1,7
Fold3,14,2,22,13,2,15,2,11,4,35,3,2,11,10,28,14,12,21,1,3
Fold3,59,4,20,38,14,52,7,42,32,32,7,19,16,12,13,17,28,46,1,11
Fold3,52,0,44,53,19,46,11,26,38,57,12,24,22,26,28,29,44,55,3,20
Fold3,13,2,40,31,41,21,11,63,78,42,11,50,12,23,19,40,19,38,7,35
Fold3,23,1,14,19,3,20,1,19,16,20,10,10,6,7,13,16,12,22,1,7
Fold3,14,2,15,31,8,9,4,19,35,37,7,17,9,26,5,24,14,16,1,13
Fold3,30,11,33,41,48,35,14,80,79,103,9,60,38,56,20,50,63,34,3,21
Fold3,68,0,25,60,10,55,1,36,36,41,18,23,13,16,23,19,37,58,1,4
Fold3,30,0,12,13,5,37,5,19,12,19,2,12,14,7,10,9,26,24,6,3
Fold3,40,0,29,35,14,33,7,35,35,36,18,23,21,24,41,25,36,31,0,11
Fold3,13,0,9,17,5,5,4,7,18,22,5,4,4,18,11,16,14,9,1,2
Fold3,26,3,20,33,22,37,15,23,22,32,8,16,18,8,14,27,22,26,3,15
Fold3,35,4,22,30,15,42,13,27,39,47,14,14,21,19,15,35,30,33,3,12
Fold3,44,2,40,41,29,32,9,26,25,42,15,19,19,16,25,29,24,27,15,26
Fold3,49,0,9,24,3,13,4,11,13,24,9,9,8,30,16,16,14,13,1,4
Fold3,69,2,19,21,7,49,4,20,11,44,9,7,31,11,32,17,26,41,1,3
Fold3,26,1,22,19,17,33,11,25,12,30,12,23,29,19,18,27,20,27,9,12
Fold3,17,1,12,24,1,18,8,9,6,25,6,7,15,4,19,6,17,31,2,2
Fold3,12,5,17,19,11,19,8,15,23,24,8,9,12,6,14,7,22,18,4,10
Fold3,28,1,27,37,16,33,9,34,28,28,14,24,19,16,10,17,30,23,0,16
Fold3,10,1,10,18,7,11,1,16,20,15,5,12,3,6,6,10,11,19,1,6
Fold3,43,3,24,18,13,38,12,15,9,41,11,10,20,12,22,26,26,34,2,9
Fold3,27,8,34,22,21,34,18,24,25,46,10,13,19,20,29,27,26,22,7,18
Fold3,17,3,14,19,20,15,10,17,12,25,7,5,15,18,10,14,7,8,2,4
Fold3,64,4,42,39,15,47,17,22,25,50,10,7,44,20,39,38,29,39,11,18
Fold3,25,0,19,22,10,15,5,17,17,24,4,13,12,8,15,17,24,12,7,9
Fold3,47,4,30,13,10,30,9,24,6,36,6,14,12,16,27,23,26,23,4,3
Fold3,45,6,25,29,14,36,8,42,35,38,10,17,21,11,15,28,25,40,1,15
Fold3,17,9,24,26,20,32,11,38,23,53,5,13,26,14,31,25,19,27,2,11
Fold3,9,0,17,11,5,17,3,11,19,11,10,10,8,9,4,7,15,19,0,6
Fold3,57,2,37,20,13,55,19,16,3,48,6,9,26,6,54,16,21,33,12,20
Fold3,35,0,19,24,9,19,6,21,15,22,16,20,9,9,16,13,14,25,0,10
Fold3,26,3,20,20,7,46,12,30,18,22,5,8,7,9,19,12,19,26,1,9
Fold3,41,5,21,39,17,31,12,13,5,28,14,7,24,6,33,13,20,34,3,6
Fold3,18,0,14,20,0,6,0,12,21,16,5,7,6,5,11,8,14,16,0,6
Fold3,5,0,2,10,7,9,1,3,5,2,1,3,1,4,1,3,2,7,1,0
Fold3,46,3,36,37,14,45,13,29,30,42,15,21,20,12,21,18,34,38,9,12
Fold3,20,0,2,11,1,10,1,3,2,10,2,2,4,1,5,4,4,10,1,0
Fold3,38,4,46,59,59,23,8,38,87,92,7,62,17,19,9,58,28,41,1,30
Fold3,27,3,42,26,27,25,9,24,41,35,13,33,18,17,15,26,18,28,9,13
Fold3,90,3,74,71,32,81,26,39,52,72,27,46,61,24,48,45,56,71,26,43
