Fold,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
Fold1,0.09,0.01,0.03,0.03,0.09,0.09,0.01,0.1,0.04,0.09,0.03,0.04,0.05,0.02,0.04,0.05,0.04,0.07,0.03,0.05
Fold1,0.09,0,0.04,0.04,0.05,0.09,0.03,0.09,0.02,0.12,0.04,0.04,0.05,0.02,0.05,0.04,0.04,0.08,0.02,0.04
Fold1,0.1,0,0.02,0.02,0.1,0.09,0.02,0.12,0.05,0.11,0.04,0.03,0.03,0.02,0.02,0.08,0.05,0.07,0,0.02
Fold1,0.09,0,0.04,0.06,0.07,0.1,0.02,0.09,0.05,0.1,0.03,0.04,0.05,0.04,0.03,0.05,0.04,0.08,0.01,0.02
Fold1,0.08,0,0.05,0.06,0.04,0.08,0.01,0.06,0.07,0.07,0.03,0.05,0.04,0.05,0.04,0.07,0.09,0.07,0.01,0.03
Fold1,0.11,0,0.02,0.02,0.06,0.11,0.01,0.07,0.04,0.11,0.04,0.05,0.04,0.03,0.01,0.07,0.06,0.09,0.03,0.03
Fold1,0.1,0.03,0.05,0.08,0.03,0.08,0.02,0.08,0.07,0.07,0.02,0.04,0.04,0.03,0.04,0.07,0.03,0.08,0.01,0.03
Fold1,0.08,0.01,0.06,0.08,0.03,0.09,0.02,0.07,0.05,0.09,0.03,0.05,0.04,0.03,0.03,0.07,0.05,0.09,0,0.02
Fold1,0.09,0,0.03,0.01,0.09,0.07,0.01,0.09,0.05,0.15,0.04,0.06,0.03,0.03,0.03,0.05,0.06,0.06,0.02,0.05
Fold1,0.13,0.01,0.06,0.02,0.02,0.08,0.01,0.05,0.05,0.08,0.01,0.05,0.07,0.06,0.03,0.07,0.09,0.08,0.01,0.01
Fold1,0.13,0.01,0.09,0.06,0.01,0.1,0.01,0.01,0.05,0.03,0,0.02,0.08,0.01,0.06,0.07,0.07,0.12,0,0.04
Fold1,0.06,0.01,0.05,0.04,0.05,0.04,0.02,0.1,0.05,0.13,0.01,0.05,0.03,0.03,0.05,0.07,0.06,0.08,0.01,0.05
Fold1,0.09,0.01,0.02,0.01,0.07,0.09,0.01,0.12,0.04,0.12,0.02,0.03,0.05,0.02,0.02,0.09,0.05,0.07,0.03,0.04
Fold1,0.08,0.01,0.05,0.07,0.03,0.07,0.01,0.03,0.11,0.1,0.04,0.05,0.03,0.02,0.04,0.04,0.07,0.08,0.02,0.05
Fold1,0.05,0.02,0.08,0.06,0.07,0.06,0.01,0.07,0.1,0.09,0.02,0.05,0.05,0.05,0.01,0.07,0.05,0.06,0.01,0.03
Fold1,0.06,0,0.02,0.02,0.1,0.09,0.02,0.14,0.04,0.13,0.03,0.03,0.03,0.03,0.01,0.06,0.06,0.09,0.02,0.02
Fold1,0.1,0.01,0.03,0.03,0.06,0.08,0.01,0.11,0.04,0.12,0.03,0.02,0.05,0.04,0.06,0.09,0.03,0.06,0.02,0.02
Fold1,0.07,0.01,0.05,0.07,0.05,0.05,0.01,0.04,0.1,0.11,0.02,0.04,0.04,0.02,0.03,0.06,0.06,0.09,0.02,0.03
Fold1,0.08,0,0.01,0.04,0.09,0.09,0.03,0.1,0.05,0.13,0.02,0.03,0.04,0.03,0.02,0.05,0.05,0.09,0.02,0.03
Fold1,0.09,0,0.04,0.04,0.01,0.07,0.01,0.03,0.09,0.09,0.01,0.07,0.04,0.06,0.03,0.09,0.08,0.07,0.01,0.05
Fold1,0.06,0,0.03,0.03,0.06,0.07,0.01,0.13,0.04,0.13,0.02,0.06,0.05,0.04,0.04,0.08,0.05,0.06,0,0.03
Fold1,0.05,0,0.05,0.05,0.07,0.06,0.04,0.08,0.07,0.11,0.02,0.04,0.03,0.03,0.05,0.08,0.04,0.07,0.01,0.04
Fold1,0.15,0.01,0.02,0.03,0.07,0.07,0,0.08,0.02,0.09,0.03,0.02,0.05,0.02,0.05,0.07,0.05,0.11,0.02,0.06
Fold1,0.13,0.01,0.05,0.02,0.03,0.14,0.05,0.03,0.03,0.07,0.01,0.03,0.08,0.02,0.02,0.09,0.12,0.06,0,0.01
Fold1,0.08,0,0.04,0.09,0.06,0.06,0.02,0.08,0.07,0.12,0.03,0.03,0.03,0.05,0.03,0.05,0.04,0.06,0.02,0.04
Fold1,0.06,0.01,0.04,0.03,0.07,0.05,0.02,0.11,0.06,0.13,0.02,0.04,0.02,0.02,0.04,0.07,0.05,0.07,0.02,0.06
Fold1,0.08,0,0.06,0.08,0.04,0.03,0.02,0.08,0.1,0.07,0.02,0.03,0.05,0.07,0.02,0.09,0.07,0.05,0.01,0.03
Fold1,0.07,0.01,0.04,0.02,0.05,0.08,0.01,0.14,0.05,0.12,0.05,0.04,0.01,0.06,0.03,0.03,0.04,0.08,0.02,0.06
Fold1,0.04,0.01,0.05,0.06,0.08,0.05,0.02,0.1,0.07,0.14,0.03,0.04,0.02,0.04,0.04,0.07,0.04,0.06,0.01,0.04
Fold1,0.08,0.01,0.07,0.07,0.05,0.03,0.03,0.08,0.07,0.05,0.03,0.03,0.05,0.04,0.02,0.1,0.08,0.07,0.02,0.04
Fold1,0.17,0.02,0.07,0.1,0,0.17,0.01,0.07,0.05,0.04,0.01,0.04,0.02,0.03,0,0.05,0.07,0.04,0.01,0.01
Fold1,0.17,0,0.07,0.06,0.05,0.05,0.01,0.05,0.09,0.06,0.03,0.03,0.05,0.03,0.02,0.05,0.08,0.07,0.02,0.04
Fold1,0.07,0,0.06,0.08,0.03,0.07,0.01,0.05,0.11,0.1,0.06,0.03,0.03,0.06,0.04,0.04,0.05,0.08,0,0.01
Fold1,0.08,0.01,0.04,0.02,0.14,0.04,0.02,0.08,0.04,0.16,0.06,0.03,0.03,0.02,0.03,0.04,0.03,0.09,0,0.03
Fold1,0.05,0.02,0.06,0.08,0.06,0.03,0.03,0.07,0.07,0.11,0.03,0.06,0.03,0.04,0.06,0.07,0.05,0.04,0.01,0.05
Fold1,0.19,0.01,0.06,0,0.01,0.07,0.01,0.05,0.03,0.09,0.03,0.05,0.08,0.05,0.01,0.07,0.1,0.07,0,0.02
Fold1,0.07,0.01,0.03,0.05,0.06,0.05,0.03,0.1,0.06,0.14,0.03,0.04,0.04,0.03,0.01,0.09,0.05,0.07,0.01,0.04
Fold1,0.03,0.01,0.06,0.04,0.08,0.05,0.01,0.11,0.08,0.1,0.02,0.05,0.02,0.03,0.05,0.08,0.06,0.06,0.01,0.06
Fold1,0.04,0.01,0,0.03,0.07,0.07,0.02,0.19,0.04,0.11,0.02,0.03,0.03,0.02,0,0.11,0.08,0.08,0.01,0.04
Fold1,0.08,0.01,0.07,0.08,0.03,0.06,0.01,0.09,0.13,0.07,0.02,0.05,0.04,0.02,0.01,0.08,0.05,0.05,0.01,0.04
Fold1,0.07,0.01,0.04,0.04,0.04,0.05,0.03,0.1,0.06,0.13,0.02,0.05,0.03,0.06,0.03,0.06,0.07,0.06,0.01,0.04
Fold1,0.08,0.01,0.01,0.03,0.06,0.05,0.02,0.08,0.08,0.12,0.05,0.03,0.05,0.07,0.01,0.07,0.04,0.07,0.01,0.04
Fold1,0.13,0.01,0.05,0.05,0.02,0.12,0.01,0.05,0.05,0.08,0.02,0.04,0.04,0.04,0.06,0.06,0.05,0.06,0.01,0.03
Fold1,0.13,0.04,0.05,0,0,0.13,0.01,0.02,0.01,0.19,0.01,0.01,0.1,0.03,0.09,0.02,0.06,0.07,0.03,0
Fold1,0.11,0.01,0.02,0.04,0.08,0.06,0.03,0.11,0.02,0.11,0.03,0.03,0.04,0.03,0.02,0.05,0.08,0.09,0.02,0.02
Fold1,0.1,0.01,0.06,0.07,0.06,0.09,0.01,0.05,0.04,0.07,0.03,0.04,0.06,0.04,0.04,0.05,0.06,0.08,0.03,0.03
Fold1,0.07,0.01,0.06,0.07,0.04,0.07,0.03,0.06,0.06,0.07,0.03,0.05,0.06,0.04,0.05,0.07,0.06,0.06,0.03,0.04
Fold1,0.08,0,0.02,0.03,0.05,0.08,0.01,0.09,0.03,0.13,0.04,0.04,0.05,0.02,0.05,0.09,0.08,0.09,0.01,0.02
Fold1,0.11,0,0.02,0.03,0.08,0.11,0.01,0.11,0.04,0.08,0.03,0.04,0.03,0.03,0.02,0.05,0.05,0.1,0.02,0.03
Fold1,0.09,0,0.04,0.08,0.03,0.07,0.01,0.08,0.08,0.07,0.03,0.05,0.01,0.06,0.02,0.11,0.07,0.06,0.01,0.02
Fold1,0.06,0.02,0.03,0.01,0.11,0.11,0.02,0.09,0.04,0.15,0.04,0.02,0.04,0.01,0.03,0.06,0.05,0.06,0.01,0.03
Fold1,0.1,0,0.02,0.05,0.08,0.1,0.09,0.09,0.02,0.1,0.04,0.04,0.02,0.02,0,0.08,0.04,0.06,0.03,0.02
Fold1,0.09,0,0.01,0.05,0.08,0.1,0,0.11,0.05,0.12,0.03,0.05,0.02,0.03,0.02,0.06,0.03,0.1,0.01,0.04
Fold1,0.1,0.01,0.02,0.02,0.07,0.1,0,0.1,0.04,0.11,0.04,0.03,0.03,0.03,0.02,0.07,0.06,0.12,0,0.03
Fold1,0.08,0,0.05,0.03,0.05,0.11,0.01,0.09,0.03,0.11,0.01,0.05,0.05,0.04,0.05,0.05,0.09,0.09,0,0.01
Fold1,0.11,0,0.01,0.03,0.03,0.1,0.01,0.12,0.03,0.14,0.05,0.03,0.03,0.03,0.04,0.05,0.07,0.08,0.01,0.04
Fold1,0.02,0.01,0.01,0.04,0.09,0.04,0,0.15,0.05,0.08,0.05,0.04,0.02,0.04,0.05,0.07,0.07,0.1,0.02,0.06
Fold1,0.22,0.01,0.02,0.01,0.04,0.1,0.01,0.02,0.01,0.16,0.02,0.01,0.06,0.01,0.04,0.04,0.09,0.11,0.02,0.01
Fold1,0.08,0.01,0.08,0.07,0.01,0.07,0.01,0.1,0.06,0.09,0.04,0.05,0.03,0.04,0.06,0.04,0.04,0.09,0,0.02
Fold1,0.08,0.05,0.04,0.14,0.04,0.03,0.02,0.05,0.05,0.14,0.07,0,0.03,0.02,0.05,0.03,0.03,0.04,0.01,0.05
Fold1,0.08,0,0.05,0.03,0.03,0.06,0,0.08,0.1,0.08,0.01,0.06,0.04,0.03,0.03,0.12,0.09,0.06,0.01,0.05
Fold1,0.13,0.01,0.03,0.02,0.08,0.11,0.01,0.09,0.04,0.11,0.03,0.03,0.05,0.02,0.03,0.06,0.07,0.07,0.01,0.01
Fold1,0.08,0.03,0.02,0.04,0.05,0.09,0.01,0.06,0.07,0.14,0.03,0.06,0.05,0.01,0.05,0.04,0.05,0.06,0.03,0.02
Fold1,0.08,0.01,0.02,0.04,0.15,0.07,0.01,0.07,0.04,0.16,0.04,0.02,0.02,0.03,0.04,0.08,0.03,0.08,0.03,0.03
Fold1,0.04,0.02,0.04,0.06,0.06,0.08,0.02,0.06,0.09,0.08,0.03,0.06,0.04,0.02,0.03,0.06,0.06,0.1,0.01,0.04
Fold1,0.06,0,0.06,0.09,0.05,0.08,0.03,0.06,0.05,0.1,0.02,0.04,0.04,0.03,0.04,0.07,0.06,0.05,0.01,0.06
Fold1,0.08,0.02,0.03,0.01,0.08,0.1,0.02,0.07,0.03,0.13,0.03,0.01,0.05,0.03,0.07,0.08,0.04,0.07,0.01,0.02
Fold1,0.11,0,0.03,0.09,0.05,0.07,0.02,0.07,0.05,0.12,0.02,0.04,0.02,0.05,0.05,0.07,0.04,0.06,0.01,0.04
Fold1,0.15,0,0.04,0.02,0.04,0.08,0.01,0.04,0.02,0.13,0.02,0.01,0.06,0.03,0.07,0.05,0.07,0.09,0.03,0.04
Fold1,0.05,0.01,0.07,0.07,0.03,0.05,0.02,0.1,0.08,0.09,0.03,0.06,0.02,0.04,0.05,0.08,0.08,0.06,0,0.03
Fold1,0.1,0.01,0.01,0.02,0.07,0.09,0.01,0.12,0.04,0.12,0.03,0.03,0.04,0.02,0.03,0.07,0.08,0.08,0.01,0.02
Fold1,0.1,0,0.04,0.02,0.06,0.09,0,0.13,0.03,0.11,0.04,0.02,0.05,0.03,0.04,0.04,0.08,0.1,0.02,0.01
Fold1,0.06,0.01,0.06,0.06,0.06,0.05,0.03,0.05,0.04,0.07,0.02,0.05,0.06,0.06,0.05,0.07,0.06,0.07,0.03,0.04
Fold1,0.12,0.01,0.06,0.04,0.03,0.07,0.02,0.04,0.01,0.11,0.02,0.02,0.08,0.04,0.1,0.05,0.08,0.07,0.01,0.02
Fold1,0.02,0.01,0.04,0.04,0.06,0.04,0.01,0.14,0.08,0.11,0.03,0.1,0.02,0.05,0.03,0.09,0.03,0.05,0.01,0.05
Fold1,0.06,0.02,0.04,0.03,0.05,0.06,0.03,0.09,0.05,0.15,0.02,0.02,0.05,0.05,0.04,0.07,0.06,0.07,0.01,0.04
Fold1,0.09,0.01,0.06,0.08,0.04,0.09,0.02,0.06,0.07,0.08,0.02,0.03,0.06,0.04,0.03,0.06,0.05,0.06,0.02,0.03
Fold1,0.14,0.01,0.06,0.06,0.03,0.1,0.03,0.03,0.01,0.1,0.02,0.02,0.05,0.04,0.07,0.06,0.07,0.08,0.01,0.02
Fold1,0.07,0.01,0.02,0.04,0.08,0.08,0.01,0.11,0.04,0.17,0.02,0.03,0.03,0.02,0.01,0.09,0.03,0.1,0.01,0.03
Fold1,0.08,0,0.02,0.04,0.07,0.1,0.01,0.13,0.06,0.1,0.04,0.03,0.04,0.04,0.01,0.06,0.05,0.1,0,0.03
Fold1,0.11,0.01,0.02,0.02,0.09,0.09,0.01,0.09,0.04,0.16,0.04,0.02,0.04,0.02,0.02,0.07,0.07,0.06,0.01,0.03
Fold1,0.18,0,0.06,0.05,0.01,0.08,0.02,0.04,0.01,0.1,0.01,0.01,0.06,0.03,0.08,0.05,0.07,0.11,0.01,0
Fold1,0.1,0.01,0.05,0.07,0.03,0.09,0.03,0.06,0.04,0.09,0.03,0.03,0.06,0.03,0.05,0.04,0.07,0.06,0.02,0.04
Fold1,0.1,0.01,0.01,0.01,0.07,0.08,0.02,0.14,0.04,0.14,0.03,0.02,0.05,0.01,0.03,0.05,0.06,0.1,0,0.02
Fold1,0.09,0.03,0.05,0.06,0.04,0.09,0.02,0.06,0.07,0.05,0.04,0.04,0.05,0.02,0.04,0.06,0.07,0.07,0.02,0.04
Fold1,0.13,0,0.04,0.09,0.05,0.07,0.01,0.08,0.07,0.12,0.03,0.02,0.03,0.04,0.03,0.05,0.04,0.07,0.01,0.01
Fold1,0.08,0.01,0.07,0.05,0.02,0.08,0,0.06,0.09,0.09,0.01,0.07,0.02,0.02,0.01,0.08,0.12,0.07,0.01,0.03
Fold1,0.05,0,0.07,0.06,0.08,0.05,0.01,0.06,0.12,0.07,0.01,0.1,0.03,0.03,0.01,0.06,0.07,0.06,0.02,0.03
Fold1,0.06,0.01,0.05,0.06,0.04,0.08,0.01,0.09,0.1,0.09,0.01,0.07,0.04,0.03,0.02,0.09,0.06,0.05,0.01,0.04
Fold1,0.11,0,0.08,0.06,0.04,0.05,0.01,0.03,0.1,0.08,0.01,0.05,0.03,0.04,0.02,0.08,0.07,0.06,0.02,0.05
Fold1,0.07,0,0.05,0.03,0.09,0.06,0.01,0.09,0.05,0.13,0.04,0.03,0.03,0.03,0.04,0.05,0.06,0.07,0.03,0.05
Fold1,0.14,0,0.02,0.06,0.02,0.09,0.03,0.02,0.01,0.15,0.02,0.01,0.03,0.01,0.11,0.04,0.08,0.1,0.03,0.03
Fold1,0.1,0.01,0.06,0.07,0.04,0.08,0.01,0.09,0.08,0.08,0.02,0.04,0.03,0.03,0.03,0.05,0.06,0.1,0.01,0.02
Fold1,0.02,0.01,0.05,0.08,0.06,0.03,0.02,0.11,0.1,0.1,0.01,0.11,0.03,0.02,0.03,0.08,0.04,0.04,0.01,0.06
Fold1,0.05,0,0.09,0.04,0.06,0.07,0.02,0.06,0.1,0.07,0.04,0.08,0.04,0.02,0.05,0.04,0.04,0.1,0.01,0.04
Fold1,0.09,0.02,0.06,0.06,0.04,0.05,0.03,0.05,0.02,0.1,0.02,0.02,0.08,0.04,0.06,0.07,0.06,0.09,0.01,0.01
Fold1,0.08,0.01,0.01,0.04,0.06,0.1,0.01,0.12,0.04,0.11,0.04,0.03,0.03,0.02,0.03,0.08,0.06,0.08,0.02,0.03
Fold1,0.08,0,0.06,0.05,0.04,0.05,0.01,0.1,0.08,0.1,0.02,0.06,0.03,0.06,0.01,0.08,0.06,0.06,0.01,0.03
Fold1,0.1,0.01,0.02,0.04,0.1,0.07,0.03,0.07,0.04,0.11,0.04,0.02,0.05,0.02,0.02,0.04,0.05,0.1,0.02,0.04
Fold1,0.04,0.01,0.02,0.09,0.05,0.06,0.02,0.07,0.06,0.11,0.02,0.03,0.01,0.07,0.07,0.06,0.06,0.08,0.01,0.06
Fold1,0.07,0,0.05,0.11,0.04,0.05,0.02,0.07,0.13,0.09,0.02,0.06,0.04,0.02,0.03,0.08,0.04,0.07,0.01,0.02
Fold1,0.08,0,0.03,0.02,0.05,0.1,0.01,0.11,0.04,0.15,0.03,0.03,0.03,0.01,0.02,0.07,0.06,0.1,0.02,0.03
Fold1,0.09,0.01,0.03,0.02,0.08,0.1,0.01,0.08,0.05,0.11,0.02,0.02,0.04,0.03,0.02,0.09,0.05,0.08,0.03,0.03
Fold1,0.08,0,0.01,0.04,0.11,0.09,0.03,0.04,0.04,0.13,0.05,0.03,0.02,0.01,0.01,0.06,0.1,0.07,0.02,0.04
Fold1,0.08,0,0.08,0.07,0.04,0.08,0.02,0.04,0.06,0.11,0.02,0.05,0.03,0.03,0.05,0.08,0.06,0.07,0,0.03
Fold1,0.07,0.01,0.08,0.06,0.05,0.08,0.03,0.07,0.08,0.09,0.02,0.05,0.04,0.04,0.03,0.04,0.03,0.05,0.03,0.04
Fold1,0.11,0,0.02,0.02,0.05,0.11,0.02,0.12,0.04,0.13,0.05,0.04,0.03,0.01,0.02,0.06,0.04,0.09,0,0.03
Fold1,0.07,0,0.03,0.04,0.09,0.08,0.04,0.07,0.04,0.13,0.04,0.02,0.03,0.01,0.03,0.08,0.01,0.1,0.02,0.06
Fold1,0.11,0,0.03,0.05,0.06,0.1,0.01,0.08,0.02,0.1,0.03,0.04,0.03,0.03,0.04,0.07,0.06,0.08,0.03,0.02
Fold1,0.08,0,0.07,0.06,0.02,0.08,0.01,0.07,0.08,0.08,0.02,0.07,0.04,0.02,0.03,0.08,0.05,0.06,0.02,0.07
Fold1,0.04,0.01,0.02,0.03,0.08,0.06,0.03,0.16,0.04,0.14,0.03,0.02,0.05,0.03,0.03,0.06,0.04,0.08,0.02,0.04
Fold1,0.15,0,0.04,0.07,0.02,0.05,0,0.05,0.12,0.05,0,0.05,0.03,0.02,0.01,0.05,0.12,0.12,0,0.02
Fold1,0.11,0,0.02,0.01,0.1,0.02,0.02,0.11,0.03,0.14,0.06,0.02,0.06,0,0.03,0.07,0.03,0.07,0.02,0.05
Fold1,0.1,0,0.08,0.07,0.01,0.06,0.05,0.04,0.09,0.02,0.01,0.12,0.03,0.09,0.03,0.09,0.05,0.02,0,0.01
Fold1,0.09,0.01,0.07,0.06,0.03,0.1,0.02,0.04,0.03,0.09,0.03,0.02,0.06,0.04,0.08,0.04,0.04,0.07,0.04,0.05
Fold1,0.03,0,0.03,0.14,0.05,0.01,0.02,0.05,0.15,0.08,0.07,0.06,0,0.11,0.03,0.06,0.01,0.04,0,0.04
Fold1,0.08,0,0.03,0.01,0.08,0.07,0.01,0.13,0.05,0.11,0.03,0.05,0.06,0.03,0.02,0.06,0.07,0.06,0.02,0.04
Fold1,0.07,0.02,0.05,0.07,0.03,0.05,0.04,0.08,0.07,0.11,0.03,0.05,0.03,0.04,0.07,0.06,0.06,0.06,0,0.04
Fold1,0.08,0,0.02,0.02,0.04,0.13,0.01,0.11,0.04,0.16,0.03,0.03,0.03,0.02,0.03,0.05,0.07,0.09,0,0.02
Fold1,0.08,0.01,0.06,0.06,0.05,0.09,0.03,0.06,0.03,0.09,0.02,0.04,0.06,0.02,0.05,0.05,0.05,0.07,0.03,0.04
Fold1,0.09,0.01,0.03,0.03,0.09,0.06,0.02,0.09,0.05,0.13,0.03,0.04,0.05,0.03,0.03,0.05,0.07,0.07,0.01,0.03
Fold1,0.04,0.01,0.01,0.02,0.1,0.09,0.02,0.14,0.05,0.12,0.04,0.05,0.03,0.01,0.02,0.1,0.06,0.08,0.01,0.03
Fold1,0.1,0,0.03,0.1,0.02,0.1,0.01,0.09,0.08,0.04,0.01,0.05,0.02,0.06,0.02,0.06,0.07,0.09,0,0.01
Fold1,0.08,0.01,0.07,0.06,0.04,0.09,0.02,0.08,0.05,0.09,0.03,0.03,0.05,0.05,0.05,0.04,0.06,0.08,0,0.02
Fold1,0.14,0.02,0.03,0.02,0.04,0.06,0.03,0.06,0.03,0.12,0.03,0.02,0.06,0.02,0.08,0.06,0.05,0.09,0.03,0.02
Fold1,0.08,0.01,0.05,0.08,0.04,0.06,0.02,0.11,0.06,0.06,0.03,0.05,0.04,0.03,0.07,0.05,0.05,0.07,0.01,0.04
Fold1,0.08,0,0.09,0.06,0.03,0.08,0,0.04,0.1,0.05,0.02,0.06,0.04,0.05,0.02,0.09,0.08,0.07,0.01,0.04
Fold1,0.11,0,0.02,0.03,0.06,0.11,0.01,0.12,0.04,0.14,0.03,0.03,0.04,0.01,0.01,0.06,0.06,0.09,0.01,0.01
Fold1,0.07,0.01,0.01,0.02,0.11,0.07,0.01,0.11,0.05,0.14,0.04,0.02,0.03,0.04,0.02,0.05,0.07,0.07,0.02,0.04
Fold1,0.13,0,0.03,0.01,0.03,0.18,0,0.03,0.02,0.07,0.01,0.02,0.12,0.09,0.01,0.07,0.05,0.07,0.01,0.06
Fold1,0.13,0.02,0.03,0.02,0.07,0.05,0.02,0.06,0.02,0.13,0.08,0.06,0.01,0.01,0.05,0.04,0.05,0.12,0,0.02
Fold1,0.12,0,0.02,0.03,0.07,0.09,0.01,0.06,0.02,0.12,0.03,0.02,0.07,0.02,0.04,0.06,0.06,0.09,0.04,0.03
